Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory
31591,16278,2536,2121,2121
31671,16358,2470,2121,2121
31751,16438,2419,2121,2121
31831,16518,2378,2121,2121
31910,16597,2349,2121,2121
31991,16678,2321,2121,2121
32070,16757,2302,2121,2121
32151,16838,2285,2121,2121
32230,16917,2271,2121,2121
32310,16997,2260,2121,2121
32390,17077,2252,2121,2121
32471,17158,2248,2121,2121
32551,17238,2245,2121,2121
32630,17317,2242,2121,2121
32710,17397,2239,2121,2121
32791,17478,2234,2121,2121
32870,17557,2230,2121,2121
32951,17638,2228,2121,2121
33031,17718,2227,2121,2121
33111,17798,2227,2121,2121
33191,17878,2228,2121,2121
33271,17958,2228,2121,2121
33351,18038,2227,2121,2121
33431,18118,2227,2121,2121
33511,18198,2227,2121,2121
33591,18278,2227,2121,2121
33670,18357,2227,2121,2121
33750,18437,2227,2121,2121
33830,18517,2227,2121,2121
33910,18597,2228,2121,2121
33992,18679,2227,2121,2121
34071,18758,2227,2121,2121
34150,18837,2227,2121,2121
34231,18918,2227,2121,2121
34311,18998,2227,2121,2121
34391,19078,2227,2121,2121
34471,19158,2227,2121,2121
34551,19238,2227,2121,2121
34632,19319,2227,2121,2121
34712,19399,2228,2121,2121
34790,19477,2227,2121,2121
34870,19557,2227,2121,2121
34951,19638,2227,2121,2121
35030,19717,2227,2121,2121
35111,19798,2227,2121,2121
35191,19878,2227,2121,2121
35291,19978,2227,2121,2121
35370,20057,2227,2121,2121
35450,20137,2227,2121,2121
35530,20217,2227,2121,2121
35610,20297,2227,2121,2121
35690,20377,2227,2121,2121
35770,20457,2227,2121,2121
35850,20537,2227,2121,2121
35931,20618,2227,2121,2121
36011,20698,2227,2121,2121
36091,20778,2227,2121,2121
36170,20857,2227,2121,2121
36250,20937,2227,2121,2121
36331,21018,2227,2121,2121
36410,21097,2227,2121,2121
36490,21177,2227,2121,2121
36571,21258,2227,2121,2121
36651,21338,2227,2121,2121
36730,21417,2227,2121,2121
36810,21497,2227,2121,2121
36890,21577,2227,2121,2121
36970,21657,2227,2121,2121
37050,21737,2227,2121,2121
37130,21817,2227,2121,2121
37210,21897,2227,2121,2121
37290,21977,2227,2121,2121
37370,22057,2227,2121,2121
37450,22137,2227,2121,2121
37530,22217,2227,2121,2121
37610,22297,2227,2121,2121
37690,22377,2227,2121,2121
37780,22467,2228,3208,3208
37850,22537,2324,3208,3208
37930,22617,2465,3208,3208
38010,22697,2595,3208,3208
38090,22777,2701,3208,3208
38170,22857,2787,3208,3208
38250,22937,2851,3208,3208
38330,23017,2903,3208,3208
38410,23097,2942,3208,3208
38490,23177,2976,3208,3208
38570,23257,2998,3208,3208
38650,23337,3021,3208,3208
38730,23417,3036,3208,3208
38809,23496,3043,3208,3208
38890,23577,3051,3208,3208
38970,23657,3063,3208,3208
39050,23737,3072,3208,3208
39130,23817,3078,3208,3208
39210,23897,3080,3208,3208
39290,23977,3081,3208,3208
39370,24057,3081,3208,3208
39449,24136,3081,3208,3208
39530,24217,3081,3208,3208
39610,24297,3081,3208,3208
39689,24376,3081,3208,3208
39770,24457,3081,3208,3208
39850,24537,3081,3208,3208
39930,24617,3081,3208,3208
40010,24697,3081,3208,3208
40090,24777,3081,3208,3208
40170,24857,3081,3208,3208
40250,24937,3081,3208,3208
40329,25016,3081,3208,3208
40410,25097,3081,3208,3208
40490,25177,3081,3208,3208
40569,25256,3081,3208,3208
40649,25336,3081,3208,3208
40730,25417,3081,3208,3208
40810,25497,3081,3208,3208
40889,25576,3081,3208,3208
40969,25656,3081,3208,3208
41049,25736,3081,3208,3208
41130,25817,3081,3208,3208
41210,25897,3081,3208,3208
41290,25977,3081,3208,3208
41369,26056,3081,3208,3208
41450,26137,3081,3208,3208
41530,26217,3081,3208,3208
41609,26296,3081,3208,3208
41689,26376,3081,3208,3208
41769,26456,3081,3208,3208
41850,26537,3081,3208,3208
41929,26616,3081,3208,3208
42009,26696,3081,3208,3208
42090,26777,3081,3208,3208
42169,26856,3081,3208,3208
42249,26936,3081,3208,3208
42329,27016,3081,3208,3208
42409,27096,3081,3208,3208
42489,27176,3081,3208,3208
42570,27257,3081,3208,3208
42649,27336,3081,3208,3208
42729,27416,3081,3208,3208
42809,27496,3081,3208,3208
42890,27577,3081,3208,3208
42970,27657,3081,3208,3208
43049,27736,3081,3208,3208
43130,27817,3081,3208,3208
43209,27896,3081,3208,3208
43290,27977,3081,3208,3208
43369,28056,3081,3208,3208
43451,28138,3081,3208,3208
43529,28216,3081,3208,3208
43609,28296,3081,3208,3208
43699,28386,3083,4015,4015
43769,28456,3169,4015,4015
43849,28536,3296,4015,4015
43929,28616,3408,4015,4015
44010,28697,3503,4015,4015
44089,28776,3579,4015,4015
44169,28856,3641,4015,4015
44250,28937,3692,4015,4015
44329,29016,3734,4015,4015
44409,29096,3768,4015,4015
44488,29175,3794,4015,4015
44569,29256,3819,4015,4015
44649,29336,3836,4015,4015
44730,29417,3852,4015,4015
44809,29496,3865,4015,4015
44889,29576,3876,4015,4015
44969,29656,3883,4015,4015
45049,29736,3886,4015,4015
45129,29816,3888,4015,4015
45209,29896,3890,4015,4015
45288,29975,3891,4015,4015
45369,30056,3891,4015,4015
45449,30136,3891,4015,4015
45529,30216,3891,4015,4015
45609,30296,3891,4015,4015
45689,30376,3891,4015,4015
45769,30456,3891,4015,4015
45849,30536,3891,4015,4015
45929,30616,3891,4015,4015
46009,30696,3891,4015,4015
46089,30776,3891,4015,4015
46170,30857,3891,4015,4015
46249,30936,3891,4015,4015
46329,31016,3891,4015,4015
46409,31096,3891,4015,4015
46488,31175,3891,4015,4015
46568,31255,3891,4015,4015
46649,31336,3891,4015,4015
46728,31415,3891,4015,4015
46809,31496,3891,4015,4015
46889,31576,3891,4015,4015
46968,31655,3891,4015,4015
47048,31735,3892,4015,4015
47130,31817,3891,4015,4015
47209,31896,3891,4015,4015
47289,31976,3891,4015,4015
47368,32055,3891,4015,4015
47449,32136,3891,4015,4015
47528,32215,3891,4015,4015
47608,32295,3891,4015,4015
47688,32375,3891,4015,4015
47768,32455,3891,4015,4015
47849,32536,3891,4015,4015
47929,32616,3891,4015,4015
48008,32695,3891,4015,4015
48088,8,3891,4015,4015
48168,88,3891,4015,4015
48247,167,3891,4015,4015
48328,248,3891,4015,4015
48407,327,3891,4015,4015
48487,407,3891,4015,4015
48568,488,3891,4015,4015
48647,567,3891,4015,4015
48728,648,3891,4015,4015
48808,728,3891,4015,4015
48887,807,3891,4015,4015
48971,891,3891,4015,4015
49047,967,3891,4015,4015
49127,1047,3891,4015,4015
49207,1127,3891,4015,4015
49287,1207,3891,4015,4015
49368,1288,3891,4015,4015
49447,1367,3891,4015,4015
49527,1447,3891,4015,4015
49627,1547,3884,2594,2594
49708,1628,3710,2594,2594
49787,1707,3518,2594,2594
49868,1788,3353,2594,2594
49947,1867,3224,2594,2594
50028,1948,3120,2594,2594
50107,2027,3039,2594,2594
50187,2107,2971,2594,2594
50267,2187,2916,2594,2594
50348,2268,2873,2594,2594
50427,2347,2836,2594,2594
50507,2427,2806,2594,2594
50587,2507,2783,2594,2594
50668,2588,2764,2594,2594
50747,2667,2745,2594,2594
50827,2747,2730,2594,2594
50907,2827,2721,2594,2594
50988,2908,2711,2594,2594
51068,2988,2702,2594,2594
51147,3067,2694,2594,2594
51227,3147,2689,2594,2594
51307,3227,2687,2594,2594
51387,3307,2686,2594,2594
51468,3388,2684,2594,2594
51547,3467,2682,2594,2594
51627,3547,2681,2594,2594
51707,3627,2681,2594,2594
51787,3707,2681,2594,2594
51867,3787,2681,2594,2594
51948,3868,2681,2594,2594
52027,3947,2681,2594,2594
52108,4028,2681,2594,2594
52187,4107,2681,2594,2594
52267,4187,2681,2594,2594
52348,4268,2681,2594,2594
52427,4347,2681,2594,2594
52507,4427,2681,2594,2594
52586,4506,2681,2594,2594
52667,4587,2681,2594,2594
52747,4667,2681,2594,2594
52827,4747,2681,2594,2594
52907,4827,2681,2594,2594
52987,4907,2681,2594,2594
53067,4987,2681,2594,2594
53147,5067,2681,2594,2594
53228,5148,2681,2594,2594
53307,5227,2681,2594,2594
53387,5307,2681,2594,2594
53466,5386,2681,2594,2594
53547,5467,2681,2594,2594
53627,5547,2681,2594,2594
53707,5627,2681,2594,2594
53787,5707,2681,2594,2594
53867,5787,2681,2594,2594
