turn,total_collisions,first_ball_collision,potted_ball,action,start_ball0_x,start_ball0_y,start_ball8_x,start_ball8_y,start_ball1_x,start_ball1_y,start_ball9_x,start_ball9_y,end_ball0_x,end_ball0_y,end_ball8_x,end_ball8_y,end_ball1_x,end_ball1_y,end_ball9_x,end_ball9_y
0,3,-1,nothing,205,988,491,211,468,696,484,1032,541,1028.0628371611272,233.8194187257837,211.0,468.0,696.0,484.0,1032.0,541.0
1,4,0,nothing,210,988,491,211,468,696,484,1032,541,714.2278562996336,530.3454416196571,211.0,468.0,845.3757494709661,451.38571079134823,1032.0,541.0
0,4,-1,nothing,215,988,491,211,468,696,484,1032,541,629.8508449278564,538.5422675298063,211.0,468.0,696.0,484.0,1032.0,541.0
0,5,0,nothing,220,988,491,211,468,696,484,1032,541,652.843204722343,500.5460565964829,206.8990225149927,530.7099009950394,738.618169818836,476.33163237156856,1032.0,541.0
1,1,-1,nothing,225,988,491,211,468,696,484,1032,541,581.9690160946683,69.5312828159657,211.0,468.0,696.0,484.0,1032.0,541.0
1,5,-1,nothing,230,988,491,211,468,696,484,1032,541,295.66599617515726,410.065515987002,104.85109008869344,361.45754010588803,696.0,484.0,1032.0,541.0
0,4,-1,nothing,235,988,491,211,468,696,484,1032,541,211.3160533971964,277.6500286893471,312.3803149672921,478.11665186353883,696.0,484.0,1032.0,541.0
0,4,-1,nothing,240,988,491,211,468,696,484,1032,541,173.76808517378146,518.902828975954,166.5180596493946,246.15147861219813,696.0,484.0,1032.0,541.0
1,3,-1,nothing,245,988,491,211,468,696,484,1032,541,169.409837340987,176.67127372261672,211.0,468.0,696.0,484.0,1032.0,541.0
0,2,-1,nothing,250,988,491,211,468,696,484,1032,541,673.3123460578344,186.60945182122097,211.0,468.0,696.0,484.0,1032.0,541.0
0,4,0,nothing,255,988,491,211,468,696,484,1032,541,815.6565071632506,512.9258190653759,211.0,468.0,588.2677985734651,405.94025478348,1032.0,541.0
0,3,0,nothing,260,988,491,211,468,696,484,1032,541,751.0612259762995,270.0000814344542,211.0,468.0,643.5886084513091,476.80669371179613,1032.0,541.0
1,2,-1,nothing,265,988,491,211,468,696,484,1032,541,811.4821708211945,234.61978382665117,211.0,468.0,696.0,484.0,1032.0,541.0
0,4,1,nothing,270,988,491,211,468,696,484,1032,541,816.8146247360186,268.5149096783646,211.0,468.0,696.0,484.0,1095.171241577383,576.7583558917836
0,4,-1,nothing,275,988,491,211,468,696,484,1032,541,1116.3559388456856,604.4209940149619,211.0,468.0,696.0,484.0,1032.0,541.0
1,4,1,nothing,280,988,491,211,468,696,484,1032,541,1079.6670836169728,551.4566916021732,211.0,468.0,696.0,484.0,875.1071180625362,345.29935382237915
0,3,-1,nothing,285,988,491,211,468,696,484,1032,541,1116.8396216523718,69.18617601319664,211.0,468.0,696.0,484.0,1032.0,541.0
0,3,-1,nothing,290,988,491,211,468,696,484,1032,541,715.5636986339517,239.9040225781904,211.0,468.0,696.0,484.0,1032.0,541.0
0,3,-1,nothing,295,988,491,211,468,696,484,1032,541,597.7438671042443,258.59931627412794,211.0,468.0,696.0,484.0,1032.0,541.0
0,4,0,nothing,300,988,491,211,468,696,484,1032,541,618.2417717277439,524.0323976126916,211.0,468.0,657.7089412451137,312.1916982621791,1032.0,541.0
1,5,0,nothing,305,988,491,211,468,696,484,1032,541,763.0410059350146,521.6705696106147,211.0,468.0,332.6626171153017,534.2266336355842,1032.0,541.0
1,5,0,nothing,310,988,491,211,468,696,484,1032,541,234.4123023543487,406.36304918449247,149.45858196553365,480.43155946201995,717.5638498035017,515.1826865446586,1032.0,541.0
1,4,-1,nothing,315,988,491,211,468,696,484,1032,541,223.4034576585417,371.4012633104279,156.76363113683436,480.99169546309895,696.0,484.0,1032.0,541.0
1,5,-1,nothing,320,988,491,211,468,696,484,1032,541,132.78548703590738,490.2262295072082,213.22081628560207,446.8520514246259,696.0,484.0,1032.0,541.0
1,5,-1,nothing,325,988,491,211,468,696,484,1032,541,176.1174244980059,509.1276946010154,112.95489957355315,438.0791689677229,696.0,484.0,1032.0,541.0
1,5,-1,nothing,330,988,491,211,468,696,484,1032,541,171.56020081033333,489.35630675874427,254.66324065107815,495.5902268945783,696.0,484.0,1032.0,541.0
0,4,-1,nothing,335,988,491,211,468,696,484,1032,541,206.70029615349435,422.15079843176886,229.8564641580402,505.1919558884945,696.0,484.0,1032.0,541.0
1,3,-1,nothing,340,988,491,211,468,696,484,1032,541,274.87859855671167,341.8837679222714,211.0,468.0,696.0,484.0,1032.0,541.0
0,3,-1,nothing,345,988,491,211,468,696,484,1032,541,281.2635259918186,216.86456995611712,211.0,468.0,696.0,484.0,1032.0,541.0
